Marketing Name,Product Code,Code,Product Type,Color Description,First Offer Date,Primary,Secondary,Accent,Match to Garment,Light Tonal,Dark Tonal,Neutral,Green,Match to Swoosh,Notes,Secondary Palette Title,Primary2,Secondary2,Accent2,Match to Garment2,Light Tonal2,Dark Tonal2,Neutral2,Green2,Match to Swoosh2,@Front Image,@Back Image
TOURNAMENT SKORT,742875-512,512,"B28 BLL, BRL, BRP, BLP, ABLP",DEEP NIGHT/(DEEP NIGHT),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2385R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742875-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742875-512-LASBH001.PNG
BERMUDA TOURNAMENT SHORT,747135-512,512,"B28 BLL, BRL, BRP, BLP, ABLP",DEEP NIGHT/(DEEP NIGHT),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2385R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\747135-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\747135-512-LASBH001.PNG
BERMUDA TOURNAMENT SHORT,747135-607,607,"B28 BLL, BRL, BRP, BLP, ABLP",SPORT FUCHSIA/(SPORT FUCHSIA),5/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,1183M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\747135-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\747135-607-LASBH001.PNG
TOURNAMENT SHORT,725771-021,21,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",DARK GREY/(DARK GREY),1/1/17,2297R,2296R,1041M,0943C,1041M,2296R,1062M,1250M,0943C,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-021-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-021-LASBH001.PNG
TOURNAMENT SHORT,725771-432,432,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",VIVID SKY/(VIVID SKY),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,1289M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-432-LASBH001.PNG
TOURNAMENT SHORT,725771-512,512,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",DEEP NIGHT/(DEEP NIGHT),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2385R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-512-LASBH001.PNG
TOURNAMENT SHORT,725771-607,607,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",SPORT FUCHSIA/(SPORT FUCHSIA),5/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,1183M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-607-LASBH001.PNG
TOURNAMENT SHORT,725771-852,852,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",MAX ORANGE/(MAX ORANGE),1/1/17,2297R,2296R,1077M,2420R,1077M,1039M,1128M,1079M,2420R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-852-LASBH001.PNG
TOURNAMENT SHORT,725771-856,856,"B29 BRP, BLP, LLA, LRA, ABLP, IAP",BRIGHT MANDARIN/(BRTMAN),5/1/17,2297R,2296R,1021M,2330R,2256R,1021M,1138M,1369M,2330R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-856-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725771-856-LASBH001.PNG
TOURNAMENT KNIT SKORT,726172-432,432,"B37S BRL, BRP, BLP, ABLP, IAP",VIVID SKY/(WHITE),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-432-LASBH001.PNG
TOURNAMENT KNIT SKORT,726172-512,512,"B37S BRL, BRP, BLP, ABLP, IAP",DEEP NIGHT/(WHITE),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-512-LASBH001.PNG
TOURNAMENT KNIT SKORT,726172-607,607,"B37S BRL, BRP, BLP, ABLP, IAP",SPORT FUCHSIA/(WHITE),5/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-607-LASBH001.PNG
TOURNAMENT KNIT SKORT,726172-852,852,"B37S BRL, BRP, BLP, ABLP, IAP",MAX ORANGE/(WHITE),1/1/17,2297R,2296R,1077M,2420R,1077M,1039M,1128M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\726172-852-LASBH001.PNG
NIKE GOLF TRUE STATEMENT CAP,727032-012,12,"C12 LP, RP",WOLF GREY/BLACK/(BLACK),1/1/17,2296R,2297R,1041M,1212M,1151M,1041M,2571R,1279M,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-012-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-012-LASBH001.PNG
NIKE GOLF TRUE STATEMENT CAP,727032-023,23,"C12 LP, RP",DARK GREY/DARK GREY/(WHITE),1/1/17,2297R,2296R,1041M,1241M,1041M,2296R,1062M,1250M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-023-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-023-LASBH001.PNG
NIKE GOLF TRUE STATEMENT CAP,727032-387,387,"C12 LP, RP",PALM GREEN/MAX ORANGE/(BLACK),1/1/17,2296R,2420R,1099M,1212S,1099M,2601R,1128M,1048M,2296R,2420R BILL EDGE MATCH,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-387-LASBH001.PNG
NIKE GOLF TRUE STATEMENT CAP,727032-432,432,"C12 LP, RP",VIVID SKY/WHITE/(WHITE),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-432-LASBH001.PNG
NIKE GOLF TRUE STATEMENT CAP,727032-512,512,"C12 LP, RP",DEEP NIGHT/WHITE/(WHITE),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-512-LASBH001.PNG
NIKE GOLF TRUE STATEMENT CAP,727032-852,852,"C12 LP, RP",MAX ORANGE/WHITE/(BLACK),1/1/17,2296R,2297R,1077M,2420R,1077M,1039M,1128M,1079M,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-852-LASBH001.PNG
NIKE GOLF TRUE STATEMENT CAP,727032-856,856,"C12 LP, RP",BRIGHT MANDARIN/WHITE/(WHITE),5/1/17,2297R,2296R,1021M,2330R,2256R,1021M,1138M,1369M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-856-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727032-856-LASBH001.PNG
PERF CAP,742707-358,358,"C12 LP, RP",ELECTROLIME/(BLACK),3/1/17,2296R,2297R,2471R,2326R,2557R,2471R,2571R,2548R,2296R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-358-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-358-LASBH001.PNG
PERF CAP,742707-432,432,"C12 LP, RP",VIVID SKY/(WHITE),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-432-LASBH001.PNG
PERF CAP,742707-452,452,"C12 LP, RP",PARAMOUNT BLUE/(WHITE),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-452-LASBH001.PNG
PERF CAP,742707-617,617,"C12 LP, RP",RACER PINK/(WHITE),5/1/17,2297R,2296R,2432R,1907M,2246R,2432R,1084M,1079M,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-617-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-617-LASBH001.PNG
PERF CAP,742707-852,852,"C12 LP, RP",MAX ORANGE/(WHITE),1/1/17,2297R,2296R,1077M,2420R,1077M,1039M,1128M,1079M,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-852-LASBH001.PNG
PERF CAP,742707-856,856,"C12 LP, RP",BRIGHT MANDARIN/(WHITE),5/1/17,2297R,2296R,1021M,2330R,2256R,1021M,1138M,1369M,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-856-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742707-856-LASBH001.PNG
NIKE GOLF CLASSIC99 PERF CAP,803330-012,12,"C12 LP, RP",WOLF GREY/ANTHRACITE/(BLACK),1/1/17,2296R,2297R,1041M,1212M,1151M,1041M,2571R,1279M,2296R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-012-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-012-LASBH001.PNG
NIKE GOLF CLASSIC99 PERF CAP,803330-300,300,"C12 LP, RP",ELECTRO GREEN/(WHITE),5/1/17,2297R,2296R,1079S,2312R,1302M,1079S,1138M,2595R,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-300-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-300-LASBH001.PNG
NIKE GOLF CLASSIC99 PERF CAP,803330-358,358,"C12 LP, RP",ELECTROLIME/(BLACK),3/1/17,2296R,2297R,2471R,2326R,2557R,2471R,2571R,2548R,2296R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-358-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-358-LASBH001.PNG
NIKE GOLF CLASSIC99 PERF CAP,803330-387,387,"C12 LP, RP",PALM GREEN/(BLACK),1/1/17,2296R,2297R,1099M,1212S,1099M,2601R,1128M,1048M,2296R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-387-LASBH001.PNG
NIKE GOLF CLASSIC99 PERF CAP,803330-432,432,"C12 LP, RP",VIVID SKY/(WHITE),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-432-LASBH001.PNG
NIKE GOLF CLASSIC99 PERF CAP,803330-452,452,"C12 LP, RP",PARAMOUNT BLUE/(WHITE),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-452-LASBH001.PNG
NIKE GOLF CLASSIC99 PERF CAP,803330-617,617,"C12 LP, RP",RACER PINK/(WHITE),5/1/17,2297R,2296R,2432R,1907M,2246R,2432R,1084M,1079M,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-617-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-617-LASBH001.PNG
NIKE GOLF CLASSIC99 PERF CAP,803330-852,852,"C12 LP, RP",MAX ORANGE/(BLACK),1/1/17,2296R,2297R,1077M,2420R,1077M,1039M,1128M,1079M,2296R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-852-LASBH001.PNG
NIKE GOLF CLASSIC99 PERF CAP,803330-856,856,"C12 LP, RP",BRIGHT MANDARIN/(WHITE),5/1/17,2297R,2296R,1021M,2330R,2256R,1021M,1138M,1369M,2297R,SMALL TEXT NOT ADVISED- NOTIFY REP ,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-856-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\803330-856-LASBH001.PNG
NIKE LEGACY91 TECH CAP,727042-358,358,"C12S LP, RP, IHW",ELECTROLIME/(BLACK),3/1/17,2296R,2297R,2471R,2326R,2557R,2471R,2571R,2548R,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-358-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-358-LASBH001.PNG
NIKE LEGACY91 TECH CAP,727042-407,407,"C12S LP, RP, IHW",PHOTO BLUE/(WHITE),1/1/17,2297R,2296R,1249S,1297M,1249S,1296M,1060M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-407-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-407-LASBH001.PNG
NIKE LEGACY91 TECH CAP,727042-432,432,"C12S LP, RP, IHW",VIVID SKY/(WHITE),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-432-LASBH001.PNG
NIKE LEGACY91 TECH CAP,727042-452,452,"C12S LP, RP, IHW",PARAMOUNT BLUE/(WHITE),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-452-LASBH001.PNG
NIKE LEGACY91 TECH CAP,727042-607,607,"C12S LP, RP, IHW",SPORT FUCHSIA/(WHITE),5/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-607-LASBH001.PNG
NIKE LEGACY91 TECH CAP,727042-852,852,"C12S LP, RP, IHW",MAX ORANGE/(BLACK),1/1/17,2296R,2297R,1077M,2420R,1077M,1039M,1128M,1079M,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-852-LASBH001.PNG
NIKE LEGACY91 TECH CAP,727042-856,856,"C12S LP, RP, IHW",BRIGHT MANDARIN/(WHITE),5/1/17,2297R,2296R,1021M,2330R,2256R,1021M,1138M,1369M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-856-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727042-856-LASBH001.PNG
NIKE LEGACY91 CUSTOM TECH CAP,727043-300,300,"C14 FC, LP, RP, IHW",ELECTRO GREEN/(WHITE),5/1/17,2297R,2296R,1079S,2312R,1302M,1079S,1138M,2595R,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-300-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-300-LASBH001.PNG
NIKE LEGACY91 CUSTOM TECH CAP,727043-306,306,"C14 FC, LP, RP, IHW",CLASSIC GREEN/(WHITE),1/1/17,2297R,2296R,1370M,1079M,2211R,1370M,2224R,1370M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-306-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-306-LASBH001.PNG
NIKE LEGACY91 CUSTOM TECH CAP,727043-358,358,"C14 FC, LP, RP, IHW",ELECTROLIME/(BLACK),3/1/17,2296R,2297R,2471R,2326R,2557R,2471R,2571R,2548R,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-358-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-358-LASBH001.PNG
NIKE LEGACY91 CUSTOM TECH CAP,727043-432,432,"C14 FC, LP, RP, IHW",VIVID SKY/(WHITE),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-432-LASBH001.PNG
NIKE LEGACY91 CUSTOM TECH CAP,727043-607,607,"C14 FC, LP, RP, IHW",SPORT FUCHSIA/(WHITE),5/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-607-LASBH001.PNG
NIKE LEGACY91 CUSTOM TECH CAP,727043-852,852,"C14 FC, LP, RP, IHW",MAX ORANGE/(BLACK),1/1/17,2296R,2297R,1077M,2420R,1077M,1039M,1128M,1079M,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-852-LASBH001.PNG
NIKE LEGACY91 CUSTOM TECH CAP,727043-856,856,"C14 FC, LP, RP, IHW",BRIGHT MANDARIN/(WHITE),5/1/17,2297R,2296R,1021M,2330R,2256R,1021M,1138M,1369M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-856-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\727043-856-LASBH001.PNG
TECH CAP,742715-358,358,"C14 FC, LP, RP, IHW",ELECTROLIME/(BLACK),3/1/17,2296R,2297R,2471R,2326R,2557R,2471R,2571R,2548R,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-358-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-358-LASBH001.PNG
TECH CAP,742715-432,432,"C14 FC, LP, RP, IHW",VIVID SKY/(WHITE),5/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-432-LASBH001.PNG
TECH CAP,742715-452,452,"C14 FC, LP, RP, IHW",PARAMOUNT BLUE/(BLACK),2/28/17,2296R,2297R,1266M,2385R,1266M,1197S,1128M,2323R,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-452-LASBH001.PNG
TECH CAP,742715-607,607,"C14 FC, LP, RP, IHW",SPORT FUCHSIA/(WHITE),5/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-607-LASBH001.PNG
TECH CAP,742715-852,852,"C14 FC, LP, RP, IHW",MAX ORANGE/(BLACK),1/1/17,2296R,2297R,1077M,2420R,1077M,1039M,1128M,1079M,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\742715-852-LASBH001.PNG
NIKE VICTORY L/S POLO,725514-512,512,"T152 LC,RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/(WHITE),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725514-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725514-512-LASBH001.PNG
THERMAL 1/2 ZIP,685282-512,512,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/DEEPNT/(WOLF GREY),3/1/17,2297R,1011M,2296R,2385R,1266M,1197S,1128M,2323R,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\685282-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\685282-512-LASBH001.PNG
THERMAL 1/2 ZIP,685282-852,852,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",MAX ORANGE/MAXORG/(WOLF GREY),1/1/17,2297R,1011M,2296R,2420R,1077M,1039M,1128M,1079M,1011M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\685282-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\685282-852-LASBH001.PNG
BOYS' THERMAL 1/2-ZIP TOP 2.0,685869-852,852,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",MAXORG/MAXORG/BLACK/(ANTHRA),1/1/17,2296R,2297R,1077M,2420R,1077M,1039M,1128M,1079M,2296R,BLACK ZIPPER,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\685869-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\685869-852-LASBH001.PNG
2 IN 1 ZONED AERO LAYER JACKET,831439-010,10,"T154S RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL, IAP",BLACK/(FLT SILVER),,2297R,1011S,1220S,2296R,1219S,1220S,1062M,1250M,1011S,CRESTED ON JACKET UNLESS SPF IS USED TO SPECIFY ELSEWHERE; LONGSLEEVE HAS SWOOSH CENTER AT CHEST; JACKET HAS SWOOSH ON LEFT CHEST; ITEMS SEPARATE FROM ONE ANOTHER,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\831439-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\831439-010-LASBH001.PNG
THERMA-FIT COVER-UP,686085-358,358,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",ELCTLM/BLACK/ELCTLM/(ANTHRA),3/1/17,2296R,2297R,2471R,2326R,2557R,2471R,2571R,2548R,2296R,ZIPPER & COLLAR MATCH BLACK,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\686085-358-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\686085-358-LASBH001.PNG
THERMA-FIT COVER-UP,686085-512,512,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",DEEPNT/BLACK/DEEPNT/(ANTHRA),3/1/17,2296R,2297R,1266M,2385R,1266M,1197S,1128M,2323R,2296R,ZIPPER & COLLAR MATCH BLACK,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\686085-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\686085-512-LASBH001.PNG
THERMA-FIT COVER-UP,686085-852,852,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",MAXORG/BLACK/MAXORG/(ANTHRA),1/1/17,2296R,2297R,1077M,2420R,1077M,1039M,1128M,1079M,2296R,ZIPPER & COLLAR MATCH BLACK,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\686085-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\686085-852-LASBH001.PNG
NIKE VICTORY SOLID POLO,725518-300,300,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",ELECTRO GREEN/(WHITE),1/1/17,2297R,2296R,1079S,2312R,1302M,1079S,1138M,2595R,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725518-300-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725518-300-LASBH001.PNG
NIKE VICTORY SOLID POLO,725518-387,387,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",PALM GREEN/(WHITE),1/1/17,2297R,2296R,1099M,0552C,1099M,2601R,1128M,1048M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725518-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725518-387-LASBH001.PNG
NIKE VICTORY SOLID POLO,725518-432,432,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",VIVID SKY/(WHITE),1/1/17,2297R,2296R,1096M,1289M,1092M,1096M,1138M,1079M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725518-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725518-432-LASBH001.PNG
NIKE VICTORY SOLID POLO,725518-607,607,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",SPORT FUCHSIA/(WHITE),1/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\725518-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\725518-607-LASBH001.PNG
